,id_post,id,message,picture,link,name,caption,description,icon,type,status_type,created_time,updated_time,shares
19,98,612616258840297_788436961258225,Lovely day for some footie at MetLife Stadium! The #Copa100 Final can be found on FS1 and Univision at 8 PM ET tonight.,https://fbcdn-photos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-0/s130x130/13510870_788436961258225_73909651927329997_n.jpg?oh=d5871f5db3206dd916ec6cbee8a1bacf&oe=57FAE233&__gda__=1479140752_a6256d18eeb3f450a11fe2e8fbf7a302,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788436961258225/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T21:11:05+0000,2016-06-26T21:11:05+0000,84
20,99,612616258840297_788415814593673,Selección Chilena fans have arrived at MetLife Stadium! #Copa100 #ARGvCHI,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xap1/v/t15.0-10/p130x130/12594162_788422031259718_1978507429_n.jpg?oh=0a7593f5e7cc811e3ac5c6edf2be2c05&oe=582C2655&__gda__=1479523138_c6cd0199c6a3fb173f8dc925f352d367,https://www.facebook.com/2016CopaAmericaCentenario/videos/788415814593673/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T20:25:22+0000,2016-06-26T20:35:04+0000,340
21,100,612616258840297_788412581260663,Éver Banega es el socio de todos en AFA - Selección Argentina: http://bit.ly/28WaZYv,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAh1IXeGHoXqtmN&w=130&h=130&url=http%3A%2F%2Fes.ca2016.com%2Fuploads%2F13%2F00%2FARG_-_Ever_Banega_2.jpg&cfs=1&sx=195&sy=0&sw=494&sh=494,http://bit.ly/28WaZYv,Éver Banega es el socio de todos en Argentina,es.ca2016.com,"La selección argentina buscará su primer título en 23 años este domingo en lo que será su tercera Final consecutiva. La Albiceleste cayó en los partidos finales del Mundial 2014 y la Copa América 2015 y ahora se apega al refrán que dice ""La tercera es la vencida.""",https://www.facebook.com/images/icons/post.gif,link,shared_story,2016-06-26T20:20:10+0000,2016-06-26T20:20:10+0000,25
22,101,612616258840297_788409474594307,"Ever Banega, o maestro da AFA - Selección Argentina: http://bit.ly/28WaEoL",https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBLp3RJRpOJHSFw&w=130&h=130&url=http%3A%2F%2Fpt.ca2016.com%2Fuploads%2F02%2F06%2FARG_-_Ever_Banega_2.jpg&cfs=1&sx=195&sy=0&sw=494&sh=494,http://bit.ly/28WaEoL,"Ever Banega, o maestro da Argentina",pt.ca2016.com,"Neste domingo, a Argentina busca seu primeiro título em 23 anos, em sua terceira final consecutiva. A Albiceleste perdeu tanto a final da Copa do Mundo, como a da Copa América no ano passado. Agora o time acredita que é a sua vez. Para alcançar seu objetivo, o time teve que passar por uma série de a...",https://www.facebook.com/images/icons/post.gif,link,shared_story,2016-06-26T20:16:07+0000,2016-06-26T20:16:07+0000,10
23,102,612616258840297_788408601261061,Live from MetLife Stadium where AFA - Selección Argentina are getting ready! ... #Copa100 #ARGvCHi,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xfa1/v/t15.0-10/p130x130/13538296_788410804594174_299979341_n.jpg?oh=03d8e1908b3caef930b320ec2538ba3c&oe=583722CA&__gda__=1479389110_5de8d85c9a5bb00f4540b379c6c7d1df,https://www.facebook.com/2016CopaAmericaCentenario/videos/788408601261061/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T20:15:22+0000,2016-06-28T13:39:36+0000,584
24,103,612616258840297_788409067927681,Learn more about how Ever Banega helps AFA - Selección Argentina be so dangerous: http://bit.ly/28Waxd4,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBJZmmqk8A2uKL_&w=130&h=130&url=http%3A%2F%2Fwww.ca2016.com%2Fuploads%2F08%2F00%2FARG_-_Ever_Banega_2.jpg&cfs=1&sx=195&sy=0&sw=494&sh=494,http://bit.ly/28Waxd4,"For Argentina, Ever Banega is everyone's partner",www.ca2016.com,"On Sunday, Argentina will look to win its first title in 23 years in what will be its third consecutive Final. La Albiceleste fell in in the Finals of the 2014 FIFA World Cup and 2015 Copa America and is now a believer of the phrase, ""Third time's a charm.""",https://www.facebook.com/images/icons/post.gif,link,shared_story,2016-06-26T20:15:07+0000,2016-06-27T23:16:51+0000,14
25,104,612616258840297_788371237931464,Fechado com a Selección Chilena ? Compartilhe/curta e mostre quem você acha que será campeão! #ARGvCHI #Copa100,https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xfl1/v/t1.0-0/s130x130/13507074_788371237931464_6685598993103869753_n.png?oh=09dd1ccbbe65fa5ced478e6feac21e2a&oe=582C0EAA&__gda__=1478968503_f7b98891ae51aaae3667f1f588ee1e2d,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788371237931464/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T19:00:13+0000,2016-06-30T03:53:53+0000,64
26,105,612616258840297_788347621267159,Cheering for Selección Chilena during tonight's #ARGvCHI #Copa100 Final? Like/share this to show your support!,https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-0/s130x130/13501553_788347621267159_6066644527633072062_n.png?oh=9601983bb68e779153de8c31f6013880&oe=582B170E&__gda__=1478982108_64efe5b2aeede32ba63c7fc997579cf0,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788347621267159/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T18:40:05+0000,2016-06-30T10:36:04+0000,307
27,106,612616258840297_788339684601286,"Hoy es el día de la gran final. La cita es entre la AFA - Selección Argentina, la Selección Chilena, y tú. ¿Estás listo?",https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xap1/v/t15.0-10/s130x130/13481616_788340434601211_1413622884_n.jpg?oh=07c90a0200ce5c21a78e88e7bd510f68&oe=57FE1DD1&__gda__=1474855366_2aece5a22adb1220c0f6b0383bac2130,https://www.facebook.com/2016CopaAmericaCentenario/videos/788339684601286/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T18:31:30+0000,2016-06-29T22:04:36+0000,962
28,107,612616258840297_788339531267968,Fechado com a AFA - Selección Argentina ? Compartilhe/curta e mostre quem você acha que será campeão! #ARGvCHI #Copa100,https://fbcdn-photos-c-a.akamaihd.net/hphotos-ak-xlf1/v/t1.0-0/s130x130/13516282_788339531267968_7813027951462336982_n.png?oh=6b2c3672ccde8f235b2aa89652b5522a&oe=57FA93CA&__gda__=1475896653_749fb087bef387cfa54da6708f21de68,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788339531267968/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T18:30:11+0000,2016-06-26T18:30:11+0000,127
29,108,612616258840297_788339544601300,AFA - Selección Argentina will be facing off with Selección Chilena at the #Copa100 Final tonight at 8pm ET! Share/like if you'll be cheering for La #Albiceleste. #ARGvCHI,https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xat1/v/t1.0-0/s130x130/13533096_788339544601300_1934694497823214557_n.png?oh=39c4b002df88d6c1b9263875872729b7&oe=5835B70D&__gda__=1474942321_262eff420b6153ed27b3d7530b4947dd,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788339544601300/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T18:30:11+0000,2016-06-27T16:09:37+0000,563
30,109,612616258840297_788339511267970,¿Quieres que la Selección Chilena vuelva a levantar la copa???? ¡Dale like/RT demostrando tu orgullo por el equipo! #ARGvCHI,https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-0/s130x130/13466552_788339511267970_5438876309625819872_n.png?oh=dca266183c5957b1f76eb0f57c2a2c2d&oe=57EB565D&__gda__=1479701690_478786f87d953165b414824b40dd33f0,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788339511267970/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T18:30:10+0000,2016-07-01T19:37:02+0000,1617
31,110,612616258840297_788339494601305,¿Confías en que la #Albiceleste se corone campeón de #Copa100? ¡Dale like y comparte esta imagen demostrando tu apoyo a la AFA - Selección Argentina! ????#ARGvCHI,https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-xlp1/v/t1.0-0/s130x130/13557731_788339494601305_5517440899548476513_n.png?oh=2be29b2f5fa38fd6aec19d39547b84e1&oe=582980D1&__gda__=1476126959_e815e5488caf2e1b9286f14e68ea21ac,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788339494601305/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T18:30:08+0000,2016-07-05T21:39:37+0000,9237
32,111,612616258840297_788317061270215,"Por si te lo perdiste, Head and Shoulders te trae el resumen completo de #USAvCOL en #Copa100.

Míralo aquí: http://es.ca2016.com/?ovid=ZyZXlkNDE6GBkbzqUX6-Wf1jRQwnz5X6",https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-xlf1/v/t1.0-0/s130x130/13510943_788317061270215_3816939614808943729_n.png?oh=5e172407bd252b7746f4e8352d2c658b&oe=57F94AE2&__gda__=1475694181_5885067085be005e5a0be144fedd7afa,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788317061270215/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T18:00:10+0000,2016-06-27T00:01:28+0000,8
33,112,612616258840297_788300284605226,Confiram o histórico entre esses grandes confrontos de #ARGvCHI! Qual será o resultado dessa #CopaAmerica?,https://fbcdn-photos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-0/s130x130/13532780_788300284605226_8210149084653500414_n.png?oh=9739df410488d20e66ef4166542b0559&oe=57F31A6E&__gda__=1475017148_f716ee26ae6c5c3525fc60156b5f7d76,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788300284605226/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T17:32:05+0000,2016-06-28T22:29:11+0000,237
34,113,612616258840297_788299497938638,"For information on the #Copa100 Final match, visit our website. EN: http://bit.ly/28WCZYw SP: http://bit.ly/28VVfF3 PT: http://bit.ly/28VVb8j",https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAxivwwEesF9-gg&w=130&h=130&url=http%3A%2F%2Fs3.amazonaws.com%2Fphotos.socialagency.com%2F545%2F1466905020767_aG9tZS1tYXJxdWVlLWxvZ28tX3gxNjAucG5n.original.png&cfs=1,http://bit.ly/28WCZYw,Home | COPA America Centenario | USA 2016,www.ca2016.com,"Official Copa America 2016 is the leading global soccer tournament. Buy Tickets to Copa, Explore Cities, Copa Match Times and Information, News about Copa Teams and Players, Player Rosters, About, Ticketing FAQ, Store, App Information. The social Media Conversation for COPA starts here.",https://www.facebook.com/images/icons/post.gif,link,shared_story,2016-06-26T17:30:10+0000,2016-06-27T02:19:35+0000,32
35,114,612616258840297_788299441271977,??? Frente A Frente: Así llegan la AFA - Selección Argentina de Leo Messi y la Selección Chilena de Arturo Vidal a la GRAN FINAL de Copa América. ¿Quién será el campeón? #ARGvCHI #Copa100,https://fbcdn-photos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-0/s130x130/13516721_788299441271977_3947814041979241576_n.png?oh=5c551499937342d1a059a5ac4d02482c&oe=58330773&__gda__=1476186574_f1ce9bbec560b7e4d034deafc928e7ef,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788299441271977/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T17:30:09+0000,2016-07-07T18:08:22+0000,1069
36,115,612616258840297_788299434605311,AFA - Selección Argentina  will face off against Selección Chilena tonight at 8:00pm ET! #ARGvCHI #Copa100,https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-0/s130x130/13537586_788299434605311_1731181789578543313_n.png?oh=e65cd68400e8a375754022c37921fffc&oe=57FA211D&__gda__=1479818541_2b2f51ab0e316dda237d0f1e23ff0759,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788299434605311/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T17:30:08+0000,2016-06-27T02:24:45+0000,145
37,116,612616258840297_788299447938643,"Quer saber mais sobre a #CopaAmerica? 
Visite o nosso site em Português, Espanhol, e Inglês. Lá você confere tudo sobre a competição, desde a programação até os melhores momentos das partidas. Vai lá!

PT: pt.ca2016.com
EN: ca2016.com
ES: es.ca2016.com",https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDQNtTRmimMRCbR&w=130&h=130&url=http%3A%2F%2Fs3.amazonaws.com%2Fphotos.socialagency.com%2F545%2F1465864604407_aG9tZS1tYXJxdWVlLWxvZ28tX3gxNjAucG5n.original.png&cfs=1,http://pt.ca2016.com/,Home | COPA America Centenario | USA 2016,pt.ca2016.com,"Official Copa America 2016 is the leading global soccer tournament. Buy Tickets to Copa, Explore Cities, Copa Match Times and Information, News about Copa Teams and Players, Player Rosters, About, Ticketing FAQ, Store, App Information. The social Media Conversation for COPA starts here.",https://www.facebook.com/images/icons/post.gif,link,shared_story,2016-06-26T17:30:08+0000,2016-06-26T17:30:08+0000,1
